drug_name,form,indication,prescription_raw,method
山药丸,丸剂,祛风通络，强筋壮骨。用于痹症，筋骨痿软，关节不利，跌打损伤，瘀血作痛,山药45g、杜仲(炒炭)21g、牛膝30g、甘草105g、木香9g、乳香(醋炙)12g、没药(醋炙)12g、千年健9g、自然铜(煅醋淬)30g、羌活9g、地枫皮9g、红花9g、防风9g、续断21g、柴胡12g、狗脊(沙烫)30g、麻黄60g、马钱子粉120g,以上十八味，除马钱子粉外，山药等十七味，粉碎成细粉，过筛，混匀，与马钱子粉配研，过筛，混匀。每 100g 粉末加炼蜜 150～170g，制成大蜜丸，即得
千金化痰丸,丸剂,清化痰热，行气。用于痰热内结，咳痰黄稠或眩晕，痰核流注，便秘,枳实30g、白术(麸炒)75g、陈皮87g、法半夏120g、茯苓75g、甘草9g、胆南星(酒炙)120g、白附子(矾炙)75g、浮海石(煅)75g、防风75g、当归30g、天麻75g、知母30g、天花粉30g、黄芩75g、黄柏30g、熟大黄150g,以上十七味，粉碎成细粉，过筛，混匀，用水泛丸，干燥，即得
川芎茶调丸,丸剂,疏风止痛。用于风寒头痛，恶寒发热,川芎 120g 白芷 60g 羌活 60g 细辛 30g 防风 45g 荆芥 120g 薄荷 240g 甘草 60g,以上八味，粉碎成细粉，过筛，混匀。用水泛丸，低温干燥，即得
小儿牛黄散,散剂,清热镇惊，散风化痰。用于小儿食滞内热引起咳嗽身烧，呕吐痰涎，烦躁起急，睡卧不安，惊风抽搐，神志昏迷，大便燥结,钩藤120g、僵蚕（麸炒）30g、天麻120g、全蝎30g、黄连30g、大黄30g、胆南星（酒炙）30g、浙贝母30g、天竺黄30g、半夏（制）30g、橘红120g、滑石120g、人工牛黄6g、朱砂10g、麝香1.5g、冰片6g,以上十六味，除朱砂外，人工牛黄、麝香、冰片分别研成细粉；其余钩藤等十二味碎粉成细粉，过筛，混匀，与上述朱砂等四味细粉配研，过筛，混匀，即得
小儿百寿丸,丸剂,疏风化痰，清热镇惊。用于小儿外感风热，内停痰食，发热头痛，厌食嗳气，咳嗽痰多，以及痰热惊风,钩藤45g、僵蚕（麸炒）45g、胆南星（酒炙）75g、天竺黄75g、桔梗30g、木香75g、砂仁45g、陈皮75g、苍术（米泔炙）75g、茯苓30g、山楂（炒）150g、六神曲（麸炒）45g、麦芽（炒）45g、薄荷45g、滑石150g、甘草30g、朱砂10g、人工牛黄10g,以上十八味，除将人工牛黄研细、朱砂水飞或粉碎成极细粉外；钩藤等十六味粉碎成细粉与上述粉末配研，过筛，混匀。每 100g 粉末加炼蜜 100～120g，制成大蜜丸，即得
小儿回春丸,丸剂,熄风镇惊，化痰开窍。用于小儿急惊抽搐，痰涎壅盛，神昏气喘，烦躁发热等症,全蝎30g、朱砂30g、蛇含石(醋煅)80g、天竺黄100g、川贝母100g、胆南星200g、人工牛黄10g、白附子(制)30g、天麻30g、僵蚕(麸炒)30g、雄黄30g、防风30g、羌活30g、麝香15g、冰片15g、甘草100g、钩藤200g,以上十七味，除人工牛黄、冰片、麝香、朱砂外，将甘草、钩藤加水煎煮二次，合并煎液，滤过。其余全蝎等十一味粉碎成细粉，过筛，混匀，除留部分粉末包内衣用外，其余粉末用上述煎液，泛丸，阴干至适度；人工牛黄、冰片、麝香分别研成细粉，与上述剩余的粉末配研后，包内衣；朱砂水飞成极细粉，包外衣，打光，即得
小儿金丹片,片剂,祛风化痰，清热解毒。用于感冒发热，头痛，咳嗽，气喘，咽喉肿痛，呕吐，急热惊风,朱砂400g、橘红200g、平贝母200g、胆南星150g、前胡150g、玄参150g、清半夏150g、大青叶150g、关木通150g、桔梗150g、荆芥穗150g、羌活150g、西河柳150g、地黄150g、枳壳(炒)150g、赤芍150g、钩藤150g、葛根100g、牛蒡子100g、天麻100g、甘草100g、防风100g、冰片50g、水牛角浓缩粉25g、羚羊角粉25g、薄荷脑0.5g,以上二十六味，除薄荷脑外冰片粉碎成细粉，朱砂水飞或粉碎成极细粉；平贝母、天麻、胆南星粉碎成细粉，与羚羊角粉、水牛角浓缩粉、朱砂粉末配研，过筛，混匀；荆芥穗、橘红、羌活、前胡提取挥发油，药渣与其余甘草等十四味，加水煎煮二次，第一次 3 小时，第二次 2 小时，合并煎液，滤过，滤液浓缩成膏。将上述混合粉末及适量辅料加入浓缩膏中，混合，干燥，粉碎成细粉，过筛，制粒，干燥。再加入冰片、薄荷脑及荆芥穗等挥发油，混匀，压片，即得
小儿保安丸,丸剂,祛风，镇惊，除痰。用于呕吐泄泻，消化不良，感冒初起，小儿惊风，咳嗽痰多,半夏(制)225g、木香141g、薄荷225g、细辛141g、天麻(制)225g、苦杏仁(去油)282g、茯苓225g、桂枝141g、苍术(泡)225g、桔梗282g、厚朴(姜汁炒)225g、前胡422g、广藿香225g、钩藤282g、僵蚕(制)225g、柴胡563g、羌活225g、珍珠150g、黄连225g、琥珀300g、麦芽(炒)225g、朱砂600g、陈皮225g、冰片375g、大腹皮225g、防风225g、六神曲225g、甘草141g,以上二十八味，除珍珠、琥珀、朱砂分别水飞成细粉；冰片磨成细粉，其余半夏等二十四味粉碎成细粉，与上述粉末配研，过筛，混匀。每 100g 粉末加炼蜜 130～140g，制成大蜜丸，即得
小儿香橘丸,丸剂,健脾和胃，消食止泻。用于小儿饮食不节引起的呕吐便泻，脾胃不和，身烧腹胀，面黄肌瘦，不思饮食,木香9g、陈皮54g、苍术（米泔炒）54g、白术（麸炒）54g、茯苓54g、甘草18g、白扁豆（去皮）36g、山药36g、莲子36g、薏苡仁（麸炒）36g、山楂（炒）36g、麦芽（炒）36g、六神曲（麸炒）36g、厚朴（姜炙）36g、枳实36g、香附（醋炙）54g、砂仁18g、半夏（制）36g、泽泻18g,以上十九味，粉碎成细粉，过筛，混匀；每 100g 粉末加炼蜜 140～160g 制成大蜜丸，即得
小儿急惊散,散剂,清热镇惊，祛风化痰。用于小儿脏腑积热，清浊不分引起急热惊风，手足抽搐，目直天吊，痰涎壅盛，身热咳嗽，气促作喘，烦躁口渴,天麻60g、钩藤80g、全蝎60g、僵蚕(麸炒)80g、天竺黄60g、半夏（制）60g、猪牙皂40g、防风60g、羌活60g、薄荷40g、蓼大青叶50g、连翘60g、天花粉80g、板蓝根50g、甘草60g、冰片40g、朱砂120g、珍珠10g、羚羊角20g、麝香16g、人工牛黄40g、琥珀40g、雄黄60g,以上二十三味，将朱砂、珍珠、羚羊角、琥珀、雄黄、冰片、麝香、人工牛黄分别研成细粉；其余天麻等十五味粉碎成细粉，过筛、混匀，与上述冰片等八味细粉配研，过筛，混匀，即得
小儿镇惊丸,丸剂,镇惊解热。用于小儿急热惊风，痰涎壅盛,甘草399g、胆南星159.7g、枳壳399g、朱砂399g、天竺黄558.7g、茯苓399g、全蝎(制)159.7g、蝉蜕399g、僵蚕(制)399g、琥珀399g、硝石79.7g、白附子(制)159.7g,以上十二味，除硝石、朱砂、琥珀外，其余甘草等九味粉碎成细粉，过筛。硝石研细，朱砂、琥珀分别水飞成极细粉，与上述粉末配研，过筛，混匀。每 100g 粉末加炼蜜 130～140g，制成大蜜丸，即得
小儿琥珀丸,丸剂,镇惊安神，清热化痰。用于四时感冒，风寒时疫，烦躁不宁，痰喘气急，关窍不利，惊痫不安,山药1600g、甘草300g、枳壳(麸炒)200g、琥珀150g、天竺黄150g、木香150g、人参150g、茯苓150g、胆南星100g、朱砂150g,以上十味，朱砂水飞或粉碎成极细粉，山药等九味粉碎成细粉，与上述粉末配研，过筛，混匀。每 100g 粉末加炼蜜 100～120g，制成大蜜丸，即得
子宫锭,丹剂,活血化瘀，化腐生肌，消肿止痛，燥湿收敛，解毒杀虫。用于治疗妇女带下，阴痒及不孕症,乳香(制)9.9g、儿茶10.8g、钟乳石13.2g、硼砂1.2g、硼砂1.05g、蛇床子4.2g、没药(制)9g、雄黄13.2g、血竭7.5g、红丹46.5g、冰片1.2g、麝香1.2g、白矾585g,以上十三味，除红丹，冰片、麝香，白矾外，其余乳香等九味分别粉碎成细粉，过筛，将白矾加水 7500g，熬炼至适度，加入上述粉末（血竭粉末除外），搅匀，再加入血竭、红丹，搅匀。将冰片、麝香研成细粉加入，搅匀，制成钮扣状大小锭，晾干，即得
久痢丸（久痢丹）,丹剂,健脾益气，除湿化滞。用于湿热久痢，休息痢,椿皮（醋制） 320g 黄连 16g 厚朴（姜制） 32g 鸦胆子(仁) 2g 枳壳(麸炒） 16g 木香 16g 党参 16g 茯苓 16g 白术(麸炒) 16g 甘草 16g 当归 32g,以上十一味，粉碎成细粉，过筛，混匀，用水泛丸，干燥。每 500g 干丸，另用滑石粉 90g，桃胶 9g 化水包衣打光，干燥，即得
开郁顺气丸,丸剂,开郁理气，健胃消食。用于胸膈胀满，两胁攻痛，胃脘痞闷，消化不良,柴胡100g、乌药25g、枳壳(麸炒)25g、茯苓25g、白芍(酒炒)25g、甘草25g、半夏(姜制)25g、木香25g、厚朴(姜制)25g、香附(醋制)50g、苍术(炒)25g、黄芩25g、莱菔子(炒)15g、六神曲(炒)25g、青皮(炒)75g、陈皮25g、槟榔50g、桔梗40g、栀子25g、沉香25g、川芎25g、当归25g、砂仁25g,以上二十三味，粉碎成细粉，过筛，混匀，每 100g 粉末加炼蜜 170～190g，制成大蜜丸，即得
木香顺气丸,丸剂,行气化湿，健脾和胃。用于湿浊阻滞气机，胸膈痞闷，脘腹胀痛，呕吐恶心，嗳气纳呆,木香100g、砂仁100g、香附(醋制)100g、槟榔100g、甘草50g、陈皮100g、厚朴(制)100g、枳壳(炒)100g、苍术(炒)100g、青皮(炒)100g,以上十味，粉碎成细粉，过筛，混匀。另取生姜 200g，分次加水煎煮，合并煎液，滤过。用滤液泛丸，干燥，即得
五加皮酒,酒剂,舒筋活血，除湿祛风。用于风湿痹痛，手足痉挛，四肢麻木，腰膝酸痛,五加皮50g、青风藤13g、当归13g、川芎13g、海风藤13g、木瓜13g、威灵仙13g、白芷19g、白术(麸炒)19g、红花25g、牛膝25g、菊花25g、党参75g、姜黄75g、独活6g、川乌(制)6g、草乌(制)6g、玉竹200g、豆蔻(去壳)9g、檀香13g、肉豆蔻(煨)9g、丁香6g、砂仁6g、木香6g、陈皮50g、肉桂6g,以上二十六味，粉碎成粗粉；另取白酒（55 度）20kg，照流浸膏剂与浸膏剂项下渗漉法（附录 11 页）渗漉，收集渗漉液；另取蔗糖 2000g 制备成糖浆，加入渗漉液中，混匀，静置，滤过，即得
五味子丸,丸剂,滋阴补气，填精益髓。用于肾气不足，腰膝疼痛，记忆衰退，头晕耳鸣，四肢无力,五味子(酒制) 200g 肉苁蓉(酒制) 200g 茯苓 100g 菟丝子(酒炒) 200g 车前子(盐制) 250g 巴戟天(制) 300g,以上六味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 100～120g，制成大蜜丸，即得
五海瘿瘤丸,丸剂,软坚消肿。用于痰核瘿瘤，瘰疬，乳核,海带100g、海藻100g、海螵蛸100g、蛤壳100g、昆布100g、白芷50g、木香10g、海螺(煅)100g、夏枯草100g、川芎75g,以上十味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 120～130g，制成大蜜丸，即得
不换金正气散,散剂,燥湿化痰，理气和中。用于脾胃不和，痰湿中阻，胸膈痞闷，寒热往来，霍乱吐泻，山岚瘴气,厚朴（姜制） 100g 广藿香 100g 半夏（制） 100g 苍术(米泔水漂） 100g 陈皮(制) 100g 甘草(蜜炙) 100g,以上六味，粉碎成最粗粉，过筛，混匀，即得
牛黄清胃丸,丸剂,清胃泻火，润燥通便。用于心胃火盛，头晕目眩，口舌生疮，牙龈肿痛，乳蛾咽痛，便秘尿赤,牛黄2g、大黄100g、菊花150g、麦冬50g、薄荷50g、石膏150g、栀子100g、玄参100g、番泻叶200g、黄芩100g、甘草100g、桔梗100g、黄柏100g、连翘100g、牵牛子(炒)50g、枳实(沙烫)100g、冰片25g,以上十七味，除牛黄、冰片外，大黄等十五味粉碎成细粉，过筛。将牛黄、冰片研细，与上述粉末配研，过筛，混匀。每 100g 粉末加炼蜜 130～160g，制成大蜜丸，即得
止嗽丸,丸剂,止嗽祛痰，疏风理肺。用于风邪犯肺咳嗽咽痒，痰不易咯出者,紫菀（制） 100g 白前 100g 荆芥 100g 甘草 50g 百部（制） 50g 桔梗 100g 陈皮 50g,以上七味，荆芥、桔梗、陈皮、甘草粉碎成细粉，过筛，混匀；其余紫菀等三味，加水煎煮二次，第一次 3 小时，第二次 2 小时，合并煎液，滤过，静置，取上清液浓缩至相对密度为 1.15～1.20（50℃）的清膏，与上述粉末混合制丸，低温干燥，打光，即得
水牛角解毒丸,丸剂,清热解毒，消肿止痛。用于小儿热毒、疮疖痈疡、红肿热痛，发热恶寒，或目赤口疮，咽喉肿痛，或痘疹余毒，烦热口渴,水牛角浓缩粉300g、地黄150g、防风150g、黄连150g、当归150g、荆芥150g、连翘105g、赤芍105g、桔梗105g、牛蒡子105g、黄芩105g、薄荷75g、甘草75g,以上十三味，除水牛角浓缩粉外，其余地黄等十二味粉碎成细粉，过筛，加水牛角浓缩粉混匀。每 100g 粉末加炼蜜 50～60g 与适量的水，泛丸，干燥，即得
水陆二味丸,丸剂,涩精，止带。用于肾虚，精关不固，男子滑精，妇女白带,荚实 500g 金樱子 500g,以上二味，金樱子加水煎煮二次，第一次 3 小时，第二次 2 小时，合并煎液，滤过，滤液浓缩；芡实粉碎成细粉，过筛，用上述浓缩液泛丸，干燥，即得
少阳感冒冲剂,颗粒剂,扶正解表，清热和中。用于寒热往来，口苦咽干，头晕目眩，不思饮食，心烦恶心,柴胡 100g 黄芩 149.4g 生晒参 50g 甘草 100g 半夏 149.4g 干姜 100g 大枣100g 青蒿 149.4g,以上八味，将柴胡、半夏提取挥发油，药渣与其余黄芩等六味，加水煎煮三次，第一次 3 小时，第二次 2 小时，第三次 1 小时，合并煎液，滤过，滤液浓缩至相对密度为 1.40 的清膏，喷雾干燥，加白糖 446g，糊精 150g，混匀，以 70% 乙醇制粒，干燥，喷入挥发油，混匀，即得
风湿酒,酒剂,祛风燥湿，通经活络。用于四肢麻木，腰膝酸软，风湿关节疼痛,桑皮80g、川乌(制)12g、熟地黄80g、细辛8g、马尾松子树根(鲜)80g、活血藤32g、淫羊藿80g、石南藤32g、侧柏叶(鲜)48g、麻黄32g、皮子药48g、续断32g、桂枝32g、苍术(麸炒)24g、茄根32g、独活16g、称钩风32g、川牛膝16g、白术(麸炒)32g、秦艽16g、附子(制)24g、干姜16g、杜仲(盐水炒)16g、甘草16g、防风16g、地枫皮16g、枳壳(麸炒)16g、狗脊(去毛)16g、木瓜8g,以上二十九味，除鲜马尾松子树根、鲜侧柏叶切断，用白酒浸渍 30 天外；其余桑皮等二十七味粉碎成粗粉，混匀，照流浸膏剂与浸膏剂项下的渗漉法（附录 11 页），用白酒作溶剂，浸渍 10～15 天后，缓缓渗漉，收集漉液。两次白酒用量共 8000g。另取蔗糖 600g 制成糖浆，待温，加入漉液内，再加鲜马尾松子树根等的浸渍液，搅匀，静置，滤过，灌装，即得
风热感冒冲剂,颗粒剂,清温解毒，宣肺利咽。用于感冒身热，鼻塞，头痛，咳嗽，多痰,板蓝根194g、连翘145.3g、薄荷145.3g、荆芥穗97g、桑叶145.3g、芦根145.3g、牛蒡子145.3g、菊花145.3g、苦杏仁145.3g、桑枝145.3g、六神曲145.3g,以上十一味，薄荷、荆芥穗提取挥发油，药渣与其余板蓝根等九味，加水煎煮三次，第一次 3 小时，第二次 2 小时，第三次 1 小时，合并煎液，滤过，滤液浓缩至相对密度为 1.40 的清膏，喷雾干燥，加白糖 566g，糊精 151g，混匀，以 70% 的乙醇制粒，干燥，喷入挥发油，混匀，即得
风寒感冒冲剂,颗粒剂,解表发汗，疏风散寒。用于感冒身热，头痛，咳嗽，鼻塞，流涕,麻黄 100g葛根 150g、紫苏叶 150g、防风 150g桂枝 100g、白芷 100g、陈皮 100g苦杏仁 150g、桔梗 100g、甘草 100g干姜 100g,以上十一味，紫苏叶、防风、白芷提取挥发油，药渣与其余桔梗等八味加水煎煮三次，第一次 3 小时，第二次 2 小时，第三次 1 小时，合并煎液，滤过，滤液浓缩至相对密度为 1.40 的清膏，喷雾干燥，加白糖 444.5g，糊精 150g，混匀，以 70% 乙醇制粒，干燥，喷入挥发油，混匀，即得
风湿骨痛丸,丸剂,祛风湿，通活络。用于风湿性关节炎,川乌（制）30g、草乌（制）30g、红花30g、甘草30g、木瓜30g、乌梅肉30g、麻黄30g,以上十三味，川乌、草乌、甘草粉碎成细粉，过筛，混匀。其余麻黄等十味加水煎煮二次，第一次 3 小时，第二次 2 小时，合并煎液，滤过，滤液浓缩成稠膏，与上述粉末泛丸，干燥，以活性炭、滑石粉包衣，打光，即得
丹七片,片剂,活血化瘀。用于血瘀气滞，心胸痹痛，眩晕头痛，经期腹痛,丹参 150g 三七 150g,以上二味，三七粉碎成细粉；丹参加水煎煮三次，合并煎液，滤过，滤液减压浓缩至相对密度 1.35～1.40（50℃）的稠膏。取稠膏 1 份，加三七细粉 1 份，混匀，干燥，压制成 600 片，或再包糖衣，即得
丹栀逍遥丸,丹剂,舒肝解郁，清热调经。用于肝郁化火，胸胁胀痛，烦闷急躁，颊赤口干，食欲不振或有潮热，以及妇女月经先期，经行不畅，胸乳与少腹胀痛,牡丹皮 100g 栀子（炒焦） 100g 柴胡（酒制） 150g 白芍(酒炒） 150g 当归 150g 茯苓 150g 白术（土炒） 150g 薄荷 30g 甘草（蜜炙） 120g,以上九味，粉碎成细粉，过筛，混匀；另取生姜 20g，加水煎煮，用煎液泛丸，低温干燥，即得
乌梅丸,丸剂,温脏安蛔。用于治疗蛔厥，久痢，厥阴头痛，或脾胃虚寒引起之胃脘痛，肢体瘦弱,乌梅肉120g、青椒（去目）12g、细辛18g、黄连48g、黄柏18g、干姜30g、附子（炙）18g、桂枝18g、人参18g、当归12g,以上十味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 125g，制成大蜜丸，即得
正骨紫金丸,丸剂,活血散瘀，消肿止痛。用于跌打损伤，经络不通，瘀血肿痛,丁香50g、莲子100g、熟大黄50g、儿茶50g、白芍(炒)100g、血竭50g、牡丹皮25g、当归100g、木香50g、茯苓100g、红花50g、甘草15g,以上十二味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 100～110g，制成大蜜丸，即得
玉屏风丸,丸剂,益气，固表，止汗。用于表虚不固，自汗恶风，面色㿠白，或体虚易感风邪者,黄芪 360g 白术(炒) 120g 防风 120g,以上三味，粉碎成细粉，过筛，混匀，用水泛丸，干燥，即得
