drug_name,form,indication,prescription_raw
二丁颗粒,颗粒剂,清热解毒。用于火热毒盛所致的热疖痈毒、咽喉肿痛、风热火眼。,紫花地丁250g半边莲250g蒲公英250g板蓝根250g
二冬膏,膏剂,养阴润肺。用于肺阴不足引起的燥咳痰少、痰中带血、鼻干咽痛。,天冬500g麦冬500g
二母宁嗽丸,丸剂,清肺润燥，化痰止咳。用于燥热蕴肺所致的咳嗽、痰黄而黏不易咳出、胸闷气促、久咳不止、声哑喉痛。,川贝母225g知母225g石膏300g炒栀子180g黄芩180g蜜桑白皮150g茯苓150g炒瓜蒌子150g陈皮150g麸炒枳实150g炙甘草30g五味子（蒸）30g
二母安嗽丸,丸剂,清肺化痰，止嗽定喘。用于虚劳久嗽，咳嗽痰喘，骨蒸潮热，音哑声重，口燥舌干，痰涎壅盛。,知母108g玄参108g罂粟壳216g麦冬108g款冬花324g紫菀108g苦杏仁108g百合108g浙贝母54g
二至丸,丸剂,补益肝肾，滋阴止血。用于肝肾阴虚，眩晕耳鸣，咽干鼻燥，腰膝酸痛，月经量多。,酒女贞子500g墨旱莲500g
二陈丸,丸剂,燥湿化痰，理气和胃。用于痰湿停滞导致的咳嗽痰多、胸脘胀闷、恶心呕吐。,陈皮250g半夏（制）250g茯苓150g甘草75g
二妙丸,丸剂,燥湿清热。用于湿热下注，足膝红肿热痛，下肢丹毒，白带，阴囊湿痒。,苍术（炒）500g黄柏（炒）500g
十一味参芪片,片剂,补脾益气。用于脾气虚所致的体弱、四肢无力。,人参（去芦）45g黄芪134g天麻89g当归178g熟地黄178g泽泻133g决明子178g菟丝子133g鹿角44g枸杞子133g细辛5g
十一味参芪胶囊,胶囊剂,补脾益气，用于脾气虚所致的体弱、四肢无力。,人参（去芦）36g黄芪107g当归142g天麻71g熟地黄142g泽泻106g决明子142g鹿角35g菟丝子106g细辛4g枸杞子106g
十一味能消丸,丸剂,化瘀行血，通经催产。用于经闭，月经不调，难产，胎盘不下，产后瘀血腹痛。,藏木香30g小叶莲50g干姜40g沙棘膏38g诃子肉75g蛇肉（制）25g大黄90g方海25g北寒水石（制）100g硇砂17g碱花（制）125g
十二味翼首散,散剂,清热解毒，防疫。用于瘟疫，流行性感冒，乙型脑炎，痢疾，热病发烧等病症。,翼首草100g榜嘎75g节裂角茴香75g天竺黄75g红花60g檀香50g安息香25g莪大夏50g铁棒锤叶40g五灵脂膏50g牛黄0.5g麝香0.5g
十三味榜嘎散,散剂,清热解毒，凉肝利胆。用于热性“赤巴”病，胆囊炎，黄疸型肝炎。,榜嘎60g波棱瓜子30g秦艽花40g印度獐牙菜40g巴夏嘎40g苦荬菜40g洪连40g小檗皮40g节裂角茴香40g金腰草30g人工牛黄3g红花20g止泻木子30g
十五味沉香丸,丸剂,调和气血，止咳，安神。用于气血郁滞，胸痛，干咳气短，失眠。,沉香100g藏木香150g檀香50g紫檀香150g红花100g肉豆蔻25g高山辣根菜150g悬钩子茎（去皮、心）200g宽筋藤（去皮）100g干姜50g石灰华100g广枣50g诃子（去核）150g毛诃子（去核）80g余甘子100g
十六味冬青丸,丸剂,宽胸顺气，止嗽定喘。用于胸满腹胀，头昏浮肿，寒嗽痰喘。,冬青叶150g石榴25g石膏75g肉桂50g豆蔻50g木香50g丁香50g甘草50g白葡萄干125g沉香75g拳参75g荜茇50g肉豆蔻50g红花50g广枣50g方海50g
十全大补丸,丸剂,温补气血。用于气血两虚，面色苍白，气短心悸，头晕自汗，体倦乏力，四肢不温，月经量多。,党参80g炒白术80g茯苓80g炙甘草40g当归120g川芎40g酒白芍80g熟地黄120g炙黄芪80g肉桂20g
十味消渴胶囊,胶囊剂,益气养阴，生津止渴。用于消渴病气阴两虚证，症见口渴喜饮、自汗盗汗、倦怠乏力、五心烦热；2型糖尿病见上述证候者。,天花粉233g乌梅肉233g枇杷叶233g麦冬233g五味子233g瓜蒌233g人参233g黄芪233g粉葛233g檀香117g
十香止痛丸,丸剂,疏气解郁，散寒止痛。用于气滞胃寒，两胁胀满，胃脘刺痛，腹部隐痛。,香附（醋炙）160g乌药80g檀香40g延胡索（醋炙）80g香橼80g蒲黄40g沉香10g厚朴（姜汁炙）80g零陵香80g降香40g丁香10g五灵脂（醋炙）80g木香40g香排草10g砂仁10g乳香（醋炙）40g高良姜6g熟大黄80g
十香返生丸,丸剂,开窍化痰，镇静安神。用于中风痰迷心窍引起的言语不清、神志昏迷、痰涎壅盛、牙关紧闭。,沉香30g丁香30g檀香30g土木香30g醋香附30g降香30g广藿香30g乳香（醋炙）30g天麻30g僵蚕（麸炒）30g郁金30g莲子心30g瓜蒌子（蜜炙）30g煅金礞石30g诃子肉30g甘草60g苏合香30g安息香30g人工麝香15g冰片7.5g朱砂30g琥珀30g牛黄15g
十滴水,酊剂,健胃，祛暑。用于因中暑而引起的头晕、恶心、腹痛、胃肠不适。,樟脑25g干姜25g大黄20g小茴香10g肉桂10g辣椒5g桉油12.5ml
十滴水软胶囊,软胶囊,健胃，祛暑。用于因中暑而引起的头晕、恶心、腹痛、胃肠不适。,樟脑62.5g干姜62.5g大黄50g小茴香25g肉桂25g辣椒12.5g桉油31.25ml
七叶神安片,片剂,益气安神，活血止痛。用于心气不足、心血瘀阻所致的心悸、失眠、胸痛、胸闷。,三七叶总皂苷50g
七味广枣丸,丸剂,养心益气，安神。用于胸闷疼痛，心悸气短，心神不安，失眠健忘。,广枣450g肉豆蔻75g丁香75g木香75g枫香脂75g沉香75g牛心粉75g
七味姜黄搽剂,搽剂,苗医：旭嘎怡沓痂，维象样丢象：粉刺，油面风。中医：清热祛湿，散风止痒，活血消痤。用于湿热郁肤所致的粉刺（痤疮），油面风（脂溢性皮炎）。,姜黄50g重楼50g杠板归50g土荆芥25g一枝黄花25g绞股蓝25g珊瑚姜50g
七味都气丸,丸剂,补肾纳气，涩精止遗。用于肾不纳气所致的喘促、胸闷、久咳、气短、咽干、遗精、盗汗、小便频数。,醋五味子150g山茱萸（制）200g茯苓150g牡丹皮150g熟地黄400g山药200g泽泻150g
七味铁屑丸,丸剂,行气活血，平肝清热止痛。用于肝区疼痛，肝脏肿大。,铁屑（诃子制）250g北寒水石（奶制）300g藏木香150g木香100g甘青青蓝150g红花150g五灵脂膏80g
七味葡萄散,散剂,清肺，止嗽，定喘。用于虚劳咳嗽，年老气喘，胸满郁闷。,白葡萄干180g石膏90g红花90g甘草90g香附60g肉桂60g石榴60g
七味榼藤子丸,丸剂,祛暑，和中，解痉止痛。用于吐泻腹痛，胸闷，胁痛，头痛发热。,榼藤子仁（炒）220g毛叶巴豆茎及叶220g阿魏3g胡椒13g蔓荆子66g蔓荆子叶154g黑种草子220g墨旱莲220g
七制香附丸,丸剂,舒肝理气，养血调经。用于气滞血虚所致的痛经、月经量少、闭经，症见胸胁胀痛、经行量少、行经小腹胀痛、经前双乳胀痛、经水数月不行。,醋香附550g地黄20g茯苓20g当归20g熟地黄20g川芎20g炒白术20g白芍20g益母草20g艾叶（炭）10g黄芩10g酒萸肉10g天冬10g阿胶10g炒酸枣仁10g砂仁7.5g醋延胡索7.5g艾叶5g粳米5g盐小茴香5g人参5g甘草5g
七宝美髯颗粒,颗粒剂,滋补肝肾。用于肝肾不足，须发早白，遗精早泄，头眩耳鸣，腰酸背痛。,制何首乌128g当归32g补骨脂（黑芝麻炒）16g枸杞子（酒蒸）32g菟丝子（炒）32g茯苓32g牛膝（酒蒸）32g
七珍丸,丸剂,定惊豁痰，消积通便。用于小儿急惊风，身热，昏睡，气粗，烦躁，痰涎壅盛，停乳停食，大便秘结。,炒僵蚕160g全蝎160g人工麝香16g朱砂80g雄黄80g胆南星80g天竺黄80g巴豆霜32g寒食曲160g
七厘胶囊,胶囊剂,化瘀消肿，止痛止血。用于跌扑损伤，血瘀疼痛，外伤出血。,血竭273g乳香（制）41g没药（制）41g红花41g儿茶65g冰片3.27g人工麝香3.27g朱砂32.7g
七厘散,散剂,化瘀消肿，止痛止血。用于跌扑损伤，血瘀疼痛，外伤出血。,血竭500g乳香（制）75g没药（制）75g红花75g儿茶120g冰片6g人工麝香6g朱砂60g
八正合剂,口服液,清热，利尿，通淋。用于湿热下注，小便短赤，淋沥涩痛，口燥咽干。,瞿麦118g车前子（炒）118g萹蓄118g大黄118g滑石118g川木通118g栀子118g甘草118g灯心草59g
八味沉香散,散剂,清心热，养心，安神，开窍。用于热病攻心，神昏谵语；冠心病，心绞痛。,沉香200g肉豆蔻100g广枣100g石灰华100g乳香100g木香100g诃子（煨）100g木棉花100g
八味清心沉香散,散剂,清心肺，理气，镇静安神。用于心肺火盛，胸闷不舒，胸胁闷痛，心悸气短。,沉香180g广枣180g檀香90g紫檀香90g红花90g肉豆蔻60g天竺黄60g北沙参60g
八味檀香散,散剂,清热润肺，止咳化痰。用于肺热咳嗽，痰中带脓。,檀香200g石膏100g红花100g甘草100g丁香100g北沙参100g拳参100g白葡萄干100g
八宝坤顺丸,丸剂,益气养血调经。用于气血两虚所致的月经不调、痛经，症见经期后错、经血量少、行经腹痛。,熟地黄80g地黄80g白芍80g当归80g川芎80g人参40g白术80g茯苓80g甘草40g益母草40g黄芩80g牛膝40g橘红80g沉香40g木香16g砂仁40g琥珀40g
八珍丸,丸剂,补气益血。用于气血两虚，面色萎黄，食欲不振，四肢乏力，月经过多。,党参100g炒白术100g茯苓100g甘草50g当归150g白芍100g川芎75g熟地黄150g
八珍丸（浓缩丸）,丸剂,补气益血。用于气血两虚，面色萎黄，食欲不振，四肢乏力，月经过多。,党参100g茯苓100g麸炒白术100g熟地黄150g白芍100g当归150g川芎75g甘草50g
八珍颗粒,颗粒剂,补气益血。用于气血两虚，面色萎黄，食欲不振，四肢乏力，月经过多。,党参60g炒白术60g茯苓60g炙甘草30g当归90g炒白芍60g川芎45g熟地黄90g
八珍益母丸,丸剂,益气养血，活血调经。用于气血两虚兼有血瘀所致的月经不调，症见月经周期错后、行经量少、淋漓不净、精神不振、肢体乏力。,益母草200g党参50g麸炒白术50g茯苓50g甘草25g当归100g酒白芍50g川芎50g熟地黄100g
八珍益母胶囊,胶囊剂,益气养血，活血调经。用于气血两虚兼有血瘀所致的月经不调，症见月经周期错后、行经量少、淋漓不净、精神不振、肢体乏力。,益母草273g党参68g炒白术68g茯苓68g甘草34g当归137g酒白芍68g川芎68g熟地黄137g
人参再造丸,丸剂,,人参100g酒蕲蛇100g广藿香100g檀香50g母丁香50g玄参100g细辛50g醋香附50g地龙25g熟地黄100g三七25g醋乳香50g青皮50g豆蔻50g防风100g制何首乌100g川芎100g片姜黄12.5g黄芪100g甘草100g黄连100g茯苓50g赤芍100g大黄100g桑寄生100g葛根75g麻黄100g骨碎补（炒）50g全蝎75g豹骨（制）50g炒僵蚕50g附子（制）50g琥珀25g醋龟甲50g粉萆薢100g麸炒白术50g沉香50g天麻100g肉桂100g白芷100g醋没药50g当归50g草豆蔻100g威灵仙75g乌药50g羌活100g橘红200g六神曲（麸炒）200g朱砂20g血竭15g人工麝香5g冰片5g牛黄5g天竺黄50g胆南星50g水牛角浓缩粉30g
人参养荣丸,丸剂,温补气血。用于心脾不足，气血两亏，形瘦神疲，食少便溏，病后虚弱。,人参100g土白术100g茯苓75g炙甘草100g当归100g熟地黄75g白芍（麸炒）100g炙黄芪100g陈皮100g制远志50g肉桂100g五味子（酒蒸）75g
人参首乌胶囊,胶囊剂,益气养血。用于气血两虚所致的须发早白、健忘失眠、食欲不振、体疲乏力；神经衰弱见上述证候者。,红参400g制何首乌600g
人参健脾丸,丸剂,健脾益气，和胃止泻。用于脾胃虚弱所致的饮食不化、脘闷嘈杂、恶心呕吐、腹痛便溏、不思饮食、体弱倦怠。,人参25g白术（麸炒）150g茯苓50g山药100g陈皮50g木香12.5g砂仁25g炙黄芪100g当归50g酸枣仁（炒）50g远志（制）25g
儿宝颗粒,颗粒剂,健脾益气，生津开胃。用于脾气虚弱、胃阴不足所致的纳呆厌食、口干燥渴、大便久泻、面黄体弱、精神不振、盗汗。,太子参120g北沙参120g茯苓120g山药120g炒山楂45g炒麦芽45g陈皮45g炒白芍45g炒白扁豆120g麦冬45g葛根（煨）45g
儿康宁糖浆,糖浆剂,益气健脾，消食开胃。用于脾胃气虚所致的厌食，症见食欲不振、消化不良、面黄身瘦、大便稀溏。,党参60g黄芪20g白术60g茯苓40g山药60g薏苡仁60g麦冬60g制何首乌60g大枣20g焦山楂20g麦芽（炒）20g桑枝40g
儿童清肺丸,丸剂,清肺，解表，化痰，止嗽。用于小儿风寒外束、肺经痰热所致的面赤身热、咳嗽气促、痰多黏稠、咽痛声哑。,麻黄10g炒苦杏仁20g石膏40g甘草10g蜜桑白皮30g瓜蒌皮30g黄芩40g板蓝根40g橘红30g法半夏30g炒紫苏子20g葶苈子10g浙贝母40g紫苏叶20g细辛8g薄荷30g蜜枇杷叶40g白前30g前胡20g石菖蒲30g天花粉30g煅青礞石10g
儿童清咽解热口服液,口服液,清热解毒，消肿利咽。用于小儿急性咽炎（急喉痹）属肺胃实热证，症见发热，咽痛，咽部充血，或咳嗽，口渴。,柴胡200g黄芩苷7.5g紫花地丁333g人工牛黄14.5g苣荬菜333g鱼腥草333g芦根500g赤小豆500g
儿童清热导滞丸,丸剂,健胃导滞，消积化虫。用于食滞肠胃所致的疳症，症见不思饮食、消化不良、面黄肌瘦、烦躁口渴、胸膈满闷、积聚痞块，亦用于虫积腹痛。,醋鸡内金120g醋莪术90g姜厚朴90g枳实90g焦山楂60g醋青皮90g法半夏60g六神曲（焦）60g焦麦芽60g焦槟榔120g榧子90g使君子仁120g胡黄连60g苦楝皮90g知母120g青蒿60g酒黄芩120g薄荷60g钩藤90g盐车前子120g
儿感退热宁口服液,口服液,解表清热，化痰止咳，解毒利咽。用于小儿外感风热，内郁化火，发烧头痛，咳嗽，咽喉肿痛。,青蒿250g板蓝根300g菊花300g苦杏仁300g桔梗300g连翘300g薄荷150g甘草100g
九一散,散剂,提脓拔毒，去腐生肌。用于热毒壅盛所致的溃疡，症见疮面鲜活、脓腐将尽。,石膏（煅）900g红粉100g
九气拈痛丸,丸剂,理气，活血，止痛。用于气滞血瘀导致的胸胁胀满疼痛、痛经。,醋香附138g木香34.5g高良姜34.5g陈皮69g郁金69g醋莪术276g醋延胡索138g槟榔69g甘草34.5g五灵脂（醋炒）138g
九分散,散剂,活血散瘀，消肿止痛。用于跌打损伤，瘀血肿痛。,马钱子粉250g麻黄250g乳香（制）250g没药（制）250g
九味石灰华散,散剂,清热，解毒，止咳，安神。用于小儿肺炎，高热烦躁，咳嗽。,石灰华100g红花80g牛黄4g红景天80g榜嘎100g甘草（去皮）80g高山辣根菜80g檀香100g洪连100g
九味肝泰胶囊,胶囊剂,化瘀通络，疏肝健脾。用于气滞血瘀兼肝郁脾虚所致的胁肋痛或刺痛，抑郁烦闷，食欲不振，食后腹胀脘痞，大便不调，或胁下痞块。,三七80g郁金240g蒺藜240g姜黄80g酒大黄128g黄芩160g蜈蚣224g山药720g五味子64g
九味羌活口服液,口服液,疏风解表，散寒除湿。用于外感风寒挟湿所致的感冒，症见恶寒、发热、无汗、头重而痛、肢体酸痛。,羌活150g防风150g苍术150g细辛50g川芎100g白芷100g黄芩100g甘草100g地黄100g
九味羌活丸,丸剂,疏风解表，散寒除湿。用于外感风寒挟湿所致的感冒，症见恶寒、发热、无汗、头重而痛、肢体酸痛。,羌活150g防风150g苍术150g细辛50g川芎100g白芷100g黄芩100g甘草100g地黄100g
九味羌活颗粒,颗粒剂,疏风解表，散寒除湿。用于外感风寒挟湿所致的感冒，症见恶寒、发热、无汗、头重而痛、肢体酸痛。,羌活150g防风150g苍术150g细辛50g川芎100g白芷100g黄芩100g甘草100g地黄100g
九制大黄丸,丸剂,泻下导滞。用于胃肠积滞所致的便秘、湿热下痢、口渴不休、停食停水、胸热心烦、小便赤黄。,大黄500g
九香止痛丸,丸剂,温中散寒，行气止痛。用于寒凝气滞，脘腹疼痛。,川木香160g木香20g沉香20g降香80g小茴香（盐水炙）80g八角茴香80g丁香80g乳香（炒）80g广藿香80g
三七片,片剂,散瘀止血，消肿止痛。用于咯血，吐血，衄血，便血，崩漏，外伤出血，胸腹刺痛，跌扑肿痛。,三七500g
三七伤药片,片剂,舒筋活血，散瘀止痛。用于跌打损伤，风湿瘀阻，关节痹痛；急慢性扭挫伤、神经痛见上述证候者。,三七52.5g制草乌52.5g雪上一枝蒿23g冰片1.05g骨碎补492.2g红花157.5g接骨木787.5g赤芍87.5g
三七伤药胶囊,胶囊剂,舒筋活血，散瘀止痛。用于跌打损伤，风湿瘀阻，关节痹痛；急慢性扭挫伤、神经痛见上述证候者。,三七52.5g制草乌52.5g雪上一枝蒿23.0g冰片1.05g骨碎补492.2g红花157.5g接骨木787.5g赤芍87.5g
三七伤药颗粒,颗粒剂,舒筋活血，散瘀止痛。用于跌打损伤，风湿瘀阻，关节痹痛；急慢性扭挫伤、神经痛见上述证候者。,三七157.5g制草乌157.5g雪上一枝蒿69.0g冰片3.15g骨碎补1476.6g红花472.5g接骨木2362.5g赤芍262.5g
三七血伤宁胶囊,胶囊剂,止血镇痛，祛瘀生新。用于瘀血阻滞、血不归经之各种血证及瘀血肿痛，如胃、十二指肠溃疡出血，支气管扩张出血，肺结核咯血，功能性子宫出血，外伤及痔疮出血，妇女月经不调，痛经，经闭及月经血量过多，产后瘀血，胃痛，肋间神经痛等。,三七56g重楼168g制草乌76g大叶紫珠200g山药26g黑紫藜芦12g冰片2g
三七通舒胶囊,胶囊剂,活血化瘀，活络通脉，改善脑梗塞、脑缺血功能障碍，恢复缺血性脑代谢异常，抗血小板聚集，防止血栓形成，改善微循环，降低全血黏度，增加颈动脉血流量。主要用于心脑血管栓塞性病症，主治中风、半身不遂、口舌歪斜、言语謇涩、偏身麻木。,三七三醇皂苷100g
三九胃泰胶囊,胶囊剂,清热燥湿，行气活血，柔肝止痛。用于湿热内蕴、气滞血瘀所致的胃痛，症见脘腹隐痛、饱胀反酸、恶心呕吐、嘈杂纳减；浅表性胃炎、糜烂性胃炎、萎缩性胃炎见上述证候者。,三叉苦1923g九里香1923g两面针1923g木香1154g黄芩769g茯苓769g地黄769g白芍769g
三九胃泰颗粒,颗粒剂,清热燥湿，行气活血，柔肝止痛。用于湿热内蕴、气滞血瘀所致的胃痛，症见脘腹隐痛、饱胀反酸、恶心呕吐、嘈杂纳减；浅表性胃炎、糜烂性胃炎、萎缩性胃炎见上述证候者。,三叉苦384.6g九里香384.6g两面针384.6g木香230.8g黄芩153.85g茯苓153.85g地黄153.85g白芍153.85g
三子散,散剂,清热凉血，解毒。用于温热，血热，新久热。,诃子200g川楝子200g栀子200g
三两半药酒,酒剂,益气活血，祛风通络。用于气血不和、感受风湿所致的痹病，症见四肢疼痛、筋脉拘挛。,当归100g炙黄芪100g牛膝100g防风50g
三妙丸,丸剂,清热燥湿。用于湿热下注所致的痹病，症见足膝红肿热痛、下肢沉重、小便黄少。,苍术（炒）600g黄柏（炒）400g牛膝200g
三拗片,片剂,宣肺解表。用于风寒袭肺证，症见咳嗽声重，咳嗽痰多，痰白清稀；急性支气管炎见上述证候者。,麻黄833g苦杏仁833g甘草833g生姜500g
三味蒺藜散,散剂,清湿热，利尿。用于湿热下注，小便热痛。,蒺藜250g冬葵果150g方海150g
三金片,片剂,清热解毒，利湿通淋，益肾。用于下焦湿热所致的热淋、小便短赤、淋沥涩痛、尿急频数；急慢性肾盂肾炎、膀胱炎、尿路感染见上述证候者；慢性非细菌性前列腺炎肾虚湿热下注证。,金樱根808g菝葜404g羊开口404g金沙藤242.4g积雪草242.4g
三宝胶囊,胶囊剂,益肾填精，养心安神。用于肾精亏虚、心血不足所致的腰酸腿软、阳痿遗精、头晕眼花、耳鸣耳聋、心悸失眠、食欲不振。,人参20g鹿茸20g当归40g山药60g醋龟甲20g砂仁（炒）10g山茱萸20g灵芝20g熟地黄60g丹参100g五味子20g菟丝子（炒）30g肉苁蓉30g何首乌40g菊花20g牡丹皮20g赤芍20g杜仲40g麦冬10g泽泻20g玄参20g
三黄片,片剂,清热解毒，泻火通便。用于三焦热盛所致的目赤肿痛、口鼻生疮、咽喉肿痛、牙龈肿痛、心烦口渴、尿黄、便秘；亦用于急性胃肠炎，痢疾。,大黄300g盐酸小檗碱5g黄芩浸膏21g
大七厘散,散剂,化瘀消肿，止痛止血。用于跌打损伤，瘀血疼痛，外伤止血。,煅自然铜96.6g土鳖虫（炒）96.6g酒大黄96.6g骨碎补96.6g当归尾（酒制）96.6g乳香（制）96.6g没药（制）96.6g硼砂（煅）96.6g血竭96.6g三七87.0g冰片43.5g
大山楂丸,丸剂,开胃消食。用于食积内停所致的食欲不振、消化不良、脘腹胀闷。,山楂1000g六神曲（麸炒）150g炒麦芽150g
大川芎口服液,口服液,活血化瘀、平肝熄风。用于瘀血阻络，肝阳化风所致的头痛、头胀、眩晕、颈项紧张不舒、上下肢或偏身麻木、舌部瘀斑。,川芎1250g天麻500g
大补阴丸,丸剂,滋阴降火。用于阴虚火旺，潮热盗汗，咳嗽咯血，耳鸣遗精。,熟地黄120g盐知母80g盐黄柏80g醋龟甲120g猪脊髓160g
大黄利胆胶囊,胶囊剂,清热利湿，解毒退黄。用于肝胆湿热所致的胁痛，口苦，食欲不振；胆囊炎，脂肪肝见上述证候者。,大黄100g手参100g余甘子100g
大黄清胃丸,丸剂,清热通便。用于胃火炽盛所致的口燥舌干、头痛目眩、大便燥结。,大黄504g木通63g槟榔63g黄芩96g胆南星42g羌活42g滑石粉168g白芷42g炒牵牛子42g芒硝63g
大黄䗪虫丸,丸剂,活血破瘀，通经消癥。用于瘀血内停所致的癥瘕、闭经，症见腹部肿块、肌肤甲错、面色黯黑、潮热羸瘦、经闭不行。,熟大黄300g土鳖虫（炒）30g水蛭（制）60g虻虫（去翅足，炒）45g蛴螬（炒）45g干漆（煅）30g桃仁120g炒苦杏仁120g黄芩60g地黄300g白芍120g甘草90g
万氏牛黄清心丸,丸剂,清热解毒，镇惊安神。用于热入心包、热盛动风证，症见高热烦躁、神昏谵语及小儿高热惊厥。,牛黄10g朱砂60g黄连200g栀子120g郁金80g黄芩120g
万应胶囊,胶囊剂,清热，解毒，镇惊。用于邪毒内蕴所致的口舌生疮、牙龈咽喉肿痛、小儿高热、烦躁易惊。,胡黄连54g黄连54g儿茶54g冰片3.3g香墨108g熊胆粉10.8g人工麝香2.7g牛黄2.7g牛胆汁87g
万应锭,丹剂,清热，解毒，镇惊。用于邪毒内蕴所致的口舌生疮、牙龈咽喉肿痛、小儿高热、烦躁易惊。,胡黄连100g黄连100g儿茶100g冰片6g香墨200g熊胆粉20g人工麝香5g牛黄5g牛胆汁160g
万通炎康片,片剂,疏风清热，解毒消肿。用于外感风热所致的咽部红肿、牙龈红肿、疮疡肿痛；急慢性咽炎、扁桃体炎、牙龈炎、疮疖见上述证候者。,苦玄参1500g肿节风1500g
口炎清颗粒,颗粒剂,滋阴清热，解毒消肿。用于阴虚火旺所致的口腔炎症。,天冬250g麦冬250g玄参250g山银花300g甘草125g
口咽清丸,丸剂,清热降火，生津止渴。用于火热伤津所致的咽部肿痛、口舌生疮、牙龈红肿、口干舌燥。,儿茶606g马槟榔61g薄荷121g乌梅肉30g硼砂61g诃子30g山豆根30g冰片30.3g甘草30g
口腔溃疡散,散剂,清热，消肿，止痛。用于火热内蕴所致的口舌生疮、黏膜破溃、红肿灼痛；复发性口疮、急性口炎见上述证候者。,青黛240g枯矾240g冰片24g
山东阿胶膏,膏剂,补益气血，润燥。用于气血两虚所致的虚劳咳嗽、吐血、妇女崩漏、胎动不安。,阿胶100g党参80g白术40g黄芪80g枸杞子40g白芍20g甘草40g
