drug_name,form,indication
二陈丸,丸剂,燥湿化痰，理气和胃。用于痰湿停滞导致的咳嗽痰多、胸脘胀闷、恶心呕吐。
二妙丸,丸剂,燥湿清热。用于湿热下注，足膝红肿热痛，下肢丹毒，白带，阴囊湿痒。
十一味参芪片,片剂,补脾益气。用于脾气虚所致的体弱、四肢无力。
十一味参芪胶囊,胶囊剂,补脾益气，用于脾气虚所致的体弱、四肢无力。
十一味能消丸,丸剂,化瘀行血，通经催产。用于经闭，月经不调，难产，胎盘不下，产后瘀血腹痛。
十二味翼首散,散剂,清热解毒，防疫。用于瘟疫，流行性感冒，乙型脑炎，痢疾，热病发烧等病症。
十三味榜嘎散,散剂,清热解毒，凉肝利胆。用于热性“赤巴”病，胆囊炎，黄疸型肝炎。
十五味沉香丸,丸剂,调和气血，止咳，安神。用于气血郁滞，胸痛，干咳气短，失眠。
十六味冬青丸,丸剂,宽胸顺气，止嗽定喘。用于胸满腹胀，头昏浮肿，寒嗽痰喘。
十全大补丸,丸剂,温补气血。用于气血两虚，面色苍白，气短心悸，头晕自汗，体倦乏力，四肢不温，月经量多。
十味消渴胶囊,胶囊剂,益气养阴，生津止渴。用于消渴病气阴两虚证，症见口渴喜饮、自汗盗汗、倦怠乏力、五心烦热；2型糖尿病见上述证候者。
十香止痛丸,丸剂,疏气解郁，散寒止痛。用于气滞胃寒，两胁胀满，胃脘刺痛，腹部隐痛。
十香返生丸,丸剂,开窍化痰，镇静安神。用于中风痰迷心窍引起的言语不清、神志昏迷、痰涎壅盛、牙关紧闭。
十滴水,酊剂,健胃，祛暑。用于因中暑而引起的头晕、恶心、腹痛、胃肠不适。
十滴水软胶囊,软胶囊,健胃，祛暑。用于因中暑而引起的头晕、恶心、腹痛、胃肠不适。
七叶神安片,片剂,益气安神，活血止痛。用于心气不足、心血瘀阻所致的心悸、失眠、胸痛、胸闷。
七味广枣丸,丸剂,养心益气，安神。用于胸闷疼痛，心悸气短，心神不安，失眠健忘。
七味姜黄搽剂,搽剂,苗医：旭嘎怡沓痂，维象样丢象：粉刺，油面风。中医：清热祛湿，散风止痒，活血消痤。用于湿热郁肤所致的粉刺（痤疮），油面风（脂溢性皮炎）。
七味都气丸,丸剂,补肾纳气，涩精止遗。用于肾不纳气所致的喘促、胸闷、久咳、气短、咽干、遗精、盗汗、小便频数。
七味铁屑丸,丸剂,行气活血，平肝清热止痛。用于肝区疼痛，肝脏肿大。
七味葡萄散,散剂,清肺，止嗽，定喘。用于虚劳咳嗽，年老气喘，胸满郁闷。
七味榼藤子丸,丸剂,祛暑，和中，解痉止痛。用于吐泻腹痛，胸闷，胁痛，头痛发热。
七制香附丸,丸剂,舒肝理气，养血调经。用于气滞血虚所致的痛经、月经量少、闭经，症见胸胁胀痛、经行量少、行经小腹胀痛、经前双乳胀痛、经水数月不行。
七宝美髯颗粒,颗粒剂,滋补肝肾。用于肝肾不足，须发早白，遗精早泄，头眩耳鸣，腰酸背痛。
七珍丸,丸剂,定惊豁痰，消积通便。用于小儿急惊风，身热，昏睡，气粗，烦躁，痰涎壅盛，停乳停食，大便秘结。
七厘胶囊,胶囊剂,化瘀消肿，止痛止血。用于跌扑损伤，血瘀疼痛，外伤出血。
七厘散,散剂,化瘀消肿，止痛止血。用于跌扑损伤，血瘀疼痛，外伤出血。
八正合剂,口服液,清热，利尿，通淋。用于湿热下注，小便短赤，淋沥涩痛，口燥咽干。
八味沉香散,散剂,清心热，养心，安神，开窍。用于热病攻心，神昏谵语；冠心病，心绞痛。
八味清心沉香散,散剂,清心肺，理气，镇静安神。用于心肺火盛，胸闷不舒，胸胁闷痛，心悸气短。
八味檀香散,散剂,清热润肺，止咳化痰。用于肺热咳嗽，痰中带脓。
八宝坤顺丸,丸剂,益气养血调经。用于气血两虚所致的月经不调、痛经，症见经期后错、经血量少、行经腹痛。
八珍丸,丸剂,补气益血。用于气血两虚，面色萎黄，食欲不振，四肢乏力，月经过多。
八珍丸（浓缩丸）,丸剂,补气益血。用于气血两虚，面色萎黄，食欲不振，四肢乏力，月经过多。
八珍颗粒,颗粒剂,补气益血。用于气血两虚，面色萎黄，食欲不振，四肢乏力，月经过多。
八珍益母丸,丸剂,益气养血，活血调经。用于气血两虚兼有血瘀所致的月经不调，症见月经周期错后、行经量少、淋漓不净、精神不振、肢体乏力。
八珍益母胶囊,胶囊剂,益气养血，活血调经。用于气血两虚兼有血瘀所致的月经不调，症见月经周期错后、行经量少、淋漓不净、精神不振、肢体乏力。
人参再造丸,丸剂,
人参养荣丸,丸剂,温补气血。用于心脾不足，气血两亏，形瘦神疲，食少便溏，病后虚弱。
人参首乌胶囊,胶囊剂,益气养血。用于气血两虚所致的须发早白、健忘失眠、食欲不振、体疲乏力；神经衰弱见上述证候者。
人参健脾丸,丸剂,健脾益气，和胃止泻。用于脾胃虚弱所致的饮食不化、脘闷嘈杂、恶心呕吐、腹痛便溏、不思饮食、体弱倦怠。
儿宝颗粒,颗粒剂,健脾益气，生津开胃。用于脾气虚弱、胃阴不足所致的纳呆厌食、口干燥渴、大便久泻、面黄体弱、精神不振、盗汗。
儿康宁糖浆,糖浆剂,益气健脾，消食开胃。用于脾胃气虚所致的厌食，症见食欲不振、消化不良、面黄身瘦、大便稀溏。
儿童清肺丸,丸剂,清肺，解表，化痰，止嗽。用于小儿风寒外束、肺经痰热所致的面赤身热、咳嗽气促、痰多黏稠、咽痛声哑。
儿童清咽解热口服液,口服液,清热解毒，消肿利咽。用于小儿急性咽炎（急喉痹）属肺胃实热证，症见发热，咽痛，咽部充血，或咳嗽，口渴。
儿童清热导滞丸,丸剂,健胃导滞，消积化虫。用于食滞肠胃所致的疳症，症见不思饮食、消化不良、面黄肌瘦、烦躁口渴、胸膈满闷、积聚痞块，亦用于虫积腹痛。
儿感退热宁口服液,口服液,解表清热，化痰止咳，解毒利咽。用于小儿外感风热，内郁化火，发烧头痛，咳嗽，咽喉肿痛。
九一散,散剂,提脓拔毒，去腐生肌。用于热毒壅盛所致的溃疡，症见疮面鲜活、脓腐将尽。
九气拈痛丸,丸剂,理气，活血，止痛。用于气滞血瘀导致的胸胁胀满疼痛、痛经。
九分散,散剂,活血散瘀，消肿止痛。用于跌打损伤，瘀血肿痛。
九味石灰华散,散剂,清热，解毒，止咳，安神。用于小儿肺炎，高热烦躁，咳嗽。
九味肝泰胶囊,胶囊剂,化瘀通络，疏肝健脾。用于气滞血瘀兼肝郁脾虚所致的胁肋痛或刺痛，抑郁烦闷，食欲不振，食后腹胀脘痞，大便不调，或胁下痞块。
九味羌活口服液,口服液,疏风解表，散寒除湿。用于外感风寒挟湿所致的感冒，症见恶寒、发热、无汗、头重而痛、肢体酸痛。
九味羌活丸,丸剂,疏风解表，散寒除湿。用于外感风寒挟湿所致的感冒，症见恶寒、发热、无汗、头重而痛、肢体酸痛。
九味羌活颗粒,颗粒剂,疏风解表，散寒除湿。用于外感风寒挟湿所致的感冒，症见恶寒、发热、无汗、头重而痛、肢体酸痛。
九制大黄丸,丸剂,泻下导滞。用于胃肠积滞所致的便秘、湿热下痢、口渴不休、停食停水、胸热心烦、小便赤黄。
九香止痛丸,丸剂,温中散寒，行气止痛。用于寒凝气滞，脘腹疼痛。
三七片,片剂,散瘀止血，消肿止痛。用于咯血，吐血，衄血，便血，崩漏，外伤出血，胸腹刺痛，跌扑肿痛。
三七伤药片,片剂,舒筋活血，散瘀止痛。用于跌打损伤，风湿瘀阻，关节痹痛；急慢性扭挫伤、神经痛见上述证候者。
三七伤药胶囊,胶囊剂,舒筋活血，散瘀止痛。用于跌打损伤，风湿瘀阻，关节痹痛；急慢性扭挫伤、神经痛见上述证候者。
三七伤药颗粒,颗粒剂,舒筋活血，散瘀止痛。用于跌打损伤，风湿瘀阻，关节痹痛；急慢性扭挫伤、神经痛见上述证候者。
三七血伤宁胶囊,胶囊剂,止血镇痛，祛瘀生新。用于瘀血阻滞、血不归经之各种血证及瘀血肿痛，如胃、十二指肠溃疡出血，支气管扩张出血，肺结核咯血，功能性子宫出血，外伤及痔疮出血，妇女月经不调，痛经，经闭及月经血量过多，产后瘀血，胃痛，肋间神经痛等。
三七通舒胶囊,胶囊剂,活血化瘀，活络通脉，改善脑梗塞、脑缺血功能障碍，恢复缺血性脑代谢异常，抗血小板聚集，防止血栓形成，改善微循环，降低全血黏度，增加颈动脉血流量。主要用于心脑血管栓塞性病症，主治中风、半身不遂、口舌歪斜、言语謇涩、偏身麻木。
三九胃泰胶囊,胶囊剂,清热燥湿，行气活血，柔肝止痛。用于湿热内蕴、气滞血瘀所致的胃痛，症见脘腹隐痛、饱胀反酸、恶心呕吐、嘈杂纳减；浅表性胃炎、糜烂性胃炎、萎缩性胃炎见上述证候者。
三九胃泰颗粒,颗粒剂,清热燥湿，行气活血，柔肝止痛。用于湿热内蕴、气滞血瘀所致的胃痛，症见脘腹隐痛、饱胀反酸、恶心呕吐、嘈杂纳减；浅表性胃炎、糜烂性胃炎、萎缩性胃炎见上述证候者。
三子散,散剂,清热凉血，解毒。用于温热，血热，新久热。
三两半药酒,酒剂,益气活血，祛风通络。用于气血不和、感受风湿所致的痹病，症见四肢疼痛、筋脉拘挛。
三妙丸,丸剂,清热燥湿。用于湿热下注所致的痹病，症见足膝红肿热痛、下肢沉重、小便黄少。
三拗片,片剂,宣肺解表。用于风寒袭肺证，症见咳嗽声重，咳嗽痰多，痰白清稀；急性支气管炎见上述证候者。
三味蒺藜散,散剂,清湿热，利尿。用于湿热下注，小便热痛。
三金片,片剂,清热解毒，利湿通淋，益肾。用于下焦湿热所致的热淋、小便短赤、淋沥涩痛、尿急频数；急慢性肾盂肾炎、膀胱炎、尿路感染见上述证候者；慢性非细菌性前列腺炎肾虚湿热下注证。
三宝胶囊,胶囊剂,益肾填精，养心安神。用于肾精亏虚、心血不足所致的腰酸腿软、阳痿遗精、头晕眼花、耳鸣耳聋、心悸失眠、食欲不振。
三黄片,片剂,清热解毒，泻火通便。用于三焦热盛所致的目赤肿痛、口鼻生疮、咽喉肿痛、牙龈肿痛、心烦口渴、尿黄、便秘；亦用于急性胃肠炎，痢疾。
大七厘散,散剂,化瘀消肿，止痛止血。用于跌打损伤，瘀血疼痛，外伤止血。
大山楂丸,丸剂,开胃消食。用于食积内停所致的食欲不振、消化不良、脘腹胀闷。
大川芎口服液,口服液,活血化瘀、平肝熄风。用于瘀血阻络，肝阳化风所致的头痛、头胀、眩晕、颈项紧张不舒、上下肢或偏身麻木、舌部瘀斑。
大补阴丸,丸剂,滋阴降火。用于阴虚火旺，潮热盗汗，咳嗽咯血，耳鸣遗精。
大黄利胆胶囊,胶囊剂,清热利湿，解毒退黄。用于肝胆湿热所致的胁痛，口苦，食欲不振；胆囊炎，脂肪肝见上述证候者。
大黄清胃丸,丸剂,清热通便。用于胃火炽盛所致的口燥舌干、头痛目眩、大便燥结。
大黄䗪虫丸,丸剂,活血破瘀，通经消癥。用于瘀血内停所致的癥瘕、闭经，症见腹部肿块、肌肤甲错、面色黯黑、潮热羸瘦、经闭不行。
万氏牛黄清心丸,丸剂,清热解毒，镇惊安神。用于热入心包、热盛动风证，症见高热烦躁、神昏谵语及小儿高热惊厥。
万应胶囊,胶囊剂,清热，解毒，镇惊。用于邪毒内蕴所致的口舌生疮、牙龈咽喉肿痛、小儿高热、烦躁易惊。
万应锭,丹剂,清热，解毒，镇惊。用于邪毒内蕴所致的口舌生疮、牙龈咽喉肿痛、小儿高热、烦躁易惊。
万通炎康片,片剂,疏风清热，解毒消肿。用于外感风热所致的咽部红肿、牙龈红肿、疮疡肿痛；急慢性咽炎、扁桃体炎、牙龈炎、疮疖见上述证候者。
口炎清颗粒,颗粒剂,滋阴清热，解毒消肿。用于阴虚火旺所致的口腔炎症。
口咽清丸,丸剂,清热降火，生津止渴。用于火热伤津所致的咽部肿痛、口舌生疮、牙龈红肿、口干舌燥。
口腔溃疡散,散剂,清热，消肿，止痛。用于火热内蕴所致的口舌生疮、黏膜破溃、红肿灼痛；复发性口疮、急性口炎见上述证候者。
山东阿胶膏,膏剂,补益气血，润燥。用于气血两虚所致的虚劳咳嗽、吐血、妇女崩漏、胎动不安。
山玫胶囊,胶囊剂,益气化瘀。用于冠心病、脑动脉硬化气滞血瘀证，症见胸痛、痛有定处、胸闷憋气，或眩晕、心悸、气短、乏力、舌质紫暗。
山香圆片,片剂,清热解毒，利咽消肿。用于喉痹，乳蛾，咽喉肿痛等症。
山菊降压片,片剂,平肝潜阳。用于阴虚阳亢所致的头痛眩晕、耳鸣健忘、腰膝酸软、五心烦热、心悸失眠；高血压病见上述证候者。
山绿茶降压片,片剂,清热泻火，平肝潜阳。用于眩晕耳鸣，头痛头胀，心烦易怒，少寐多梦；高血压、高脂血症见上述证候者。
山楂化滞丸,丸剂,消食导滞。用于饮食不节所致的食积，症见脘腹胀满、纳少饱胀、大便秘结。
千金止带丸（大蜜丸）,丸剂,健脾补肾，调经止带。用于脾肾两虚所致的月经不调、带下病，症见月经先后不定期、量多或淋漓不净、色淡无块，或带下量多、色白清稀、神疲乏力、腰膝酸软。
千金止带丸（水丸）,丸剂,健脾补肾，调经止带。用于脾肾两虚所致的月经不调、带下病，症见月经先后不定期、量多或淋漓不净、色淡无块，或带下量多、色白清稀、神疲乏力、腰膝酸软。
千柏鼻炎片,片剂,清热解毒，活血祛风，宣肺通窍。用于风热犯肺、内郁化火、凝滞气血所致的鼻塞、鼻痒气热、流涕黄稠，或持续鼻塞、嗅觉迟钝；急慢性鼻炎、急慢性鼻窦炎见上述证候者。
千柏鼻炎胶囊,胶囊剂,清热解毒，活血祛风，宣肺通窍。用于风热犯肺、内郁化火、凝滞气血所致的鼻塞、鼻痒气热、流涕黄稠，或持续鼻塞、嗅觉迟钝；急慢性鼻炎、急慢性鼻窦炎见上述证候者。
千喜片,片剂,清热解毒，消炎止痛，止泻止痢。用于热毒蕴结所致肠炎、结肠炎、细菌性痢疾和鼻窦炎。
千喜胶囊,胶囊剂,清热解毒，消炎止痛，止泻止痢。用于热毒蕴结所致肠炎、结肠炎、细菌性痢疾和鼻窦炎。
川贝止咳露,露剂,止嗽祛痰。用于风热咳嗽，痰多上气或燥咳。
川贝枇杷糖浆,糖浆剂,清热宣肺，化痰止咳。用于风热犯肺、痰热内阻所致的咳嗽痰黄或咯痰不爽、咽喉肿痛、胸闷胀痛；感冒、支气管炎见上述证候者。
川贝雪梨膏,膏剂,润肺止咳，生津利咽。用于阴虚肺热，咳嗽，喘促，口燥咽干。
川芎茶调丸,丸剂,疏风止痛。用于外感风邪所致的头痛，或有恶寒、发热、鼻塞。
川芎茶调丸（浓缩丸）,丸剂,疏风止痛。用于外感风邪所致的头痛，或有恶寒、发热、鼻塞。
川芎茶调片,片剂,疏风止痛。用于外感风邪所致的头痛，或有恶寒、发热、鼻塞。
川芎茶调袋泡茶,茶剂,疏风止痛。用于外感风邪所致的头痛，或有恶寒、发热、鼻塞。
川芎茶调散,散剂,疏风止痛。用于外感风邪所致的头痛，或有恶寒、发热、鼻塞。
川芎茶调颗粒,颗粒剂,疏风止痛。用于外感风邪所致的头痛，或有恶寒、发热、鼻塞。
女金丸,丸剂,益气养血，理气活血，止痛。用于气血两虚、气滞血瘀所致的月经不调，症见月经提前、月经错后、月经量多、神疲乏力、经水淋漓不净、行经腹痛。
女金胶囊,胶囊剂,益气养血，理气活血，止痛。用于气血两虚、气滞血瘀所致的月经不调，症见月经提前、月经错后、月经量多、神疲乏力、经水淋漓不净、行经腹痛。
女珍颗粒,颗粒剂,滋肾，宁心。用于更年期综合征属肝肾阴虚、心肝火旺证者，可改善烘热汗出，五心烦热，心悸，失眠。
小儿七星茶口服液,口服液,开胃消滞，清热定惊。用于小儿积滞化热，消化不良，不思饮食，烦躁易惊，夜寐不安，大便不畅，小便短赤。
小儿七星茶颗粒,颗粒剂,开胃消滞，清热定惊。用于小儿积滞化热，消化不良，不思饮食，烦躁易惊，夜寐不安，大便不畅，小便短赤。
小儿止咳糖浆,糖浆剂,祛痰，镇咳。用于小儿感冒引起的咳嗽。
小儿止嗽糖浆,糖浆剂,润肺清热，止嗽化痰。用于小儿痰热内蕴所致的发热、咳嗽、黄痰、咳吐不爽、口干舌燥、腹满便秘、久嗽痰盛。
小儿化毒散,散剂,清热解毒，活血消肿。用于热毒内蕴、毒邪未尽所致的口疮肿痛、疮疡溃烂、烦躁口渴、大便秘结。
小儿化食口服液,口服液,消食化滞，泻火通便。用于食滞化热所致的积滞，症见厌食、烦躁、恶心呕吐、口渴、脘腹胀满、大便干燥。
小儿化食丸,丸剂,消食化滞，泻火通便。用于食滞化热所致的积滞，症见厌食、烦躁、恶心呕吐、口渴、脘腹胀满、大便干燥。
小儿百寿丸,丸剂,清热散风，消食化滞。用于小儿风热感冒、积滞，症见发热头痛、脘腹胀满、停食停乳、不思饮食、呕吐酸腐、咳嗽痰多、惊风抽搐。
小儿百部止咳糖浆,糖浆剂,清肺，止咳、化痰。用于小儿痰热蕴肺所致的咳嗽、顿咳，症见咳嗽、痰多、痰黄黏稠、咯吐不爽，或痰咳不已、痰稠难出；百日咳见上述证候者。
小儿至宝丸,丸剂,疏风镇惊，化痰导滞。用于小儿风寒感冒，停食停乳，发热鼻塞，咳嗽痰多，呕吐泄泻。
小儿扶脾颗粒,颗粒剂,健脾胃，助消化。用于小儿脾胃气虚，消化不良，体质消瘦。
小儿抗痫胶囊,胶囊剂,豁痰熄风，健脾理气。用于原发性全身性强直-阵挛发作型儿童癫痫风痰闭阻证，发作时症见四肢抽搐、口吐涎沫、二目上窜、甚至昏仆。
小儿肝炎颗粒,颗粒剂,清热利湿，解郁止痛。用于肝胆湿热所致的黄疸、胁痛、腹胀、发热、恶心呕吐、食欲减退、身体倦懒、皮肤黄染；黄疸型肝炎或无黄疸型肝炎见上述证候者。
小儿金丹片,片剂,祛风化痰，清热解毒。用于外感风热，痰火内盛所致的感冒，症见发热、头痛、咳嗽、气喘、咽喉肿痛、呕吐，及高热惊风。
小儿肺咳颗粒,颗粒剂,健脾益肺，止咳平喘。用于肺脾不足，痰湿内壅所致咳嗽或痰多稠黄，咳吐不爽，气短，喘促，动辄汗出，食少纳呆，周身乏力，舌红苔厚；小儿支气管炎见以上证候者。
小儿肺热平胶囊,胶囊剂,清热化痰，止咳平喘，镇惊开窍。用于小儿痰热壅肺所致喘嗽，症见喘咳、吐痰黄稠、壮热烦渴、神昏抽搐、舌红苔黄腻。
小儿肺热咳喘口服液,口服液,清热解毒，宣肺化痰。用于热邪犯于肺卫所致发热、汗出、微恶风寒、咳嗽、痰黄，或兼喘息、口干而渴。
小儿泻速停颗粒,颗粒剂,清热利湿，健脾止泻，缓急止痛，用于小儿湿热壅遏大肠所致的泄泻，症见大便稀薄如水样、腹痛、纳差；小儿秋季腹泻及迁延性、慢性腹泻见上述证候者。
小儿泻痢片,片剂,清热利湿，止泻。用于小儿湿热下注所致的痢疾、泄泻，症见大便次数增多或里急后重、下利赤白。
小儿宝泰康颗粒,颗粒剂,解表清热，止咳化痰。用于小儿风热外感，症见发热、流涕、咳嗽、脉浮。
小儿咽扁颗粒,颗粒剂,清热利咽，解毒止痛。用于小儿肺卫热盛所致的喉痹、乳蛾，症见咽喉肿痛、咳嗽痰盛、口舌糜烂；急性咽炎、急性扁桃腺炎见上述证候者。
小儿咳喘灵口服液,口服液,〔规格（1）〕宣肺清热，止咳、祛痰、平喘。用于上呼吸道感染，气管炎，肺炎，咳嗽。〔规格（2）〕宣肺、清热，止咳、祛痰。用于上呼吸道感染引起的咳嗽。
小儿咳喘颗粒,颗粒剂,清热宣肺，化痰止咳，降逆平喘。用于小儿痰热壅肺所致的咳嗽、发热、痰多、气喘。
小儿香橘丸,丸剂,健脾和胃，消食止泻。用于脾虚食滞所致的呕吐便泻、脾胃不和、身热腹胀、面黄肌瘦、不思饮食。
小儿退热合剂（小儿退热口服液）,口服液,疏风解表，解毒利咽。用于小儿外感风热所致的感冒，症见发热恶风、头痛目赤、咽喉肿痛；上呼吸道感染见上述证候者。
小儿退热颗粒,颗粒剂,疏风解表，解毒利咽。用于小儿外感风热所致的感冒，症见发热恶风、头痛目赤、咽喉肿痛；上呼吸道感染见上述证候者。
小儿柴桂退热口服液,口服液,发汗解表，清里退热。用于小儿外感发热。症见：发热，头身痛，流涕，口渴，咽红，溲黄，便干。
小儿柴桂退热颗粒,颗粒剂,发汗解表，清里退热。用于小儿外感发热。症见发热，头身痛，流涕，口渴，咽红，溲黄，便干。
小儿热速清口服液,口服液,清热解毒，泻火利咽。用于小儿外感风热所致的感冒，症见高热、头痛、咽喉肿痛、鼻塞流涕、咳嗽、大便干结。
小儿热速清颗粒,颗粒剂,清热解毒，泻火利咽。用于小儿外感风热所致的感冒，症见高热、头痛、咽喉肿痛、鼻塞流涕、咳嗽、大便干结。
小儿热速清糖浆,糖浆剂,清热解毒，泻火利咽。用于小儿外感风热所致的感冒，症见高热、头痛、咽喉肿痛、鼻塞流涕、咳嗽、大便干结。
小儿消食片,片剂,消食化滞，健脾和胃。用于食滞肠胃所致积滞，症见食少、便秘、脘腹胀满、面黄肌瘦。
小儿消积止咳口服液,口服液,清热肃肺，消积止咳。用于小儿饮食积滞、痰热蕴肺所致的咳嗽、夜间加重、喉间痰鸣、腹胀、口臭。
小儿豉翘清热颗粒,颗粒剂,疏风解表，清热导滞。用于小儿风热感冒夹滞证，症见发热咳嗽，鼻塞流涕，咽红肿痛，纳呆口渴，脘腹胀满，便秘或大便酸臭，溲黄。
小儿惊风散,散剂,镇惊熄风。用于小儿惊风，抽搐神昏。
小儿清肺止咳片,片剂,清热解表，止咳化痰。用于小儿外感风热、内闭肺火所致的身热咳嗽、气促痰多、烦躁口渴、大便干燥。
小儿清肺化痰口服液,口服液,清热化痰，止咳平喘。用于小儿风热犯肺所致的咳嗽，症见呼吸气促、咳嗽痰喘、喉中作响。
小儿清热止咳合剂（小儿清热止咳口服液）,口服液,清热宣肺，平喘，利咽。用于小儿外感风热所致的感冒，症见发热恶寒、咳嗽痰黄、气促喘息、口干音哑、咽喉肿痛。
小儿清热片,片剂,清热解毒，祛风镇惊。用于小儿风热，烦躁抽搐，发热口疮，小便短赤，大便不利。
小儿感冒口服液,口服液,清热解表。用于小儿外感风热所致发热重、微恶风寒、头痛、有汗或少汗、咽红肿痛、口渴、舌尖红、苔薄黄而干、脉浮数。
小儿感冒茶,茶剂,疏风解表，清热解毒。用于小儿风热感冒，症见发热重、头胀痛、咳嗽痰黏、咽喉肿痛；流感见上述证候者。
小儿感冒颗粒,颗粒剂,疏风解表，清热解毒。用于小儿风热感冒，症见发热重、头胀痛、咳嗽痰黏、咽喉肿痛；流感见上述证候者。
小儿感冒宁糖浆,糖浆剂,疏散风热，清热止咳。用于小儿外感风热所致的感冒，症见发热、汗出不爽、鼻塞流涕、咳嗽咽痛。
小儿腹泻宁糖浆,糖浆剂,健脾和胃，生津止泻，用于脾胃气虚所致的泄泻，症见大便泄泻、腹胀腹痛、纳减、呕吐、口干、倦怠乏力、舌淡苔白。
小儿解表颗粒,颗粒剂,宣肺解表，清热解毒。用于小儿外感风热所致的感冒，症见发热恶风、头痛咳嗽、鼻塞流涕、咽喉痛痒。
小儿解热丸,丸剂,清热化痰，镇惊，息风。用于小儿感冒发热，痰涎壅盛，高热惊风，项背强直，手足抽搐，神志昏蒙，呕吐咳嗽。
小儿解感片,片剂,清热解表，利咽止咳。用于感冒发烧，头痛鼻塞，咳嗽喷嚏，咽喉肿痛。
小儿敷脐止泻散,散剂,温中散寒，止泻。用于小儿中寒、腹泻、腹痛。
小青龙合剂,口服液,解表化饮，止咳平喘。用于风寒水饮，恶寒发热，无汗，喘咳痰稀。
小青龙颗粒,颗粒剂,解表化饮，止咳平喘。用于风寒水饮，恶寒发热，无汗，喘咳痰稀。
小金丸,丸剂,散结消肿，化瘀止痛。用于痰气凝滞所致的瘰疬、瘿瘤、乳岩、乳癖，症见肌肤或肌肤下肿块一处或数处，推之能动，或骨及骨关节肿大，皮色不变，肿硬作痛。
小金片,片剂,散结消肿，化瘀止痛。用于阴疽初起，皮色不变，肿硬作痛，多发性脓肿，瘿瘤，瘰疬，乳岩，乳癖。
小金胶囊,胶囊剂,散结消肿，化瘀止痛。用于阴疽初起，皮色不变，肿硬作痛，多发性脓肿，瘿瘤，瘰疬，乳岩，乳癖。
小建中片,片剂,温中补虚，缓急止痛。用于脾胃虚寒，脘腹疼痛，喜温喜按，嘈杂吞酸，食少；胃及十二指肠溃疡上述证候者。
小建中合剂,口服液,温中补虚，缓急止痛。用于脾胃虚寒，脘腹疼痛，喜温喜按，嘈杂吞酸，食少；胃及十二指肠溃疡见上述证候者。
小建中颗粒,颗粒剂,温中补虚，缓急止痛。用于脾胃虚寒，脘腹疼痛，喜温喜按，嘈杂吞酸，食少心悸及腹泻与便秘交替症状的慢性结肠炎，胃及十二指肠溃疡。
